channelName,createdAt,subscribers,views,totalVideos,playlistId
Ken Jee,2014-02-28T14:58:24Z,246000,8208213,277,UUiT9RITQ9PW6BhXK0y2jaeg
Tina Huang,2013-08-28T18:05:17Z,552000,24086413,126,UU2UXDak6o7rBm23k3Vv5dww
Shashank Kalanithi,2011-10-01T21:44:24Z,131000,5999713,152,UUvZnwzmc3m1Eush-Or8Z6DA
Thu Vu data analytics,2021-04-30T15:22:58.33437Z,152000,4774788,71,UUJQJAI7IjbLcpsjWdSzYz0Q
Luke Barousse,2020-08-03T09:02:41.213077Z,356000,16338321,135,UULLw7jmFsvfIVaUFsLs8mlQ
Keith Galli,2016-12-27T20:18:51Z,197000,13467374,78,UUq6XkhO5SZ66N04IcPbqNcw
Alex The Analyst,2020-01-08T05:04:24.970712Z,510000,20425366,219,UU7cs8q-gJRlGwj4A8OmCmXg
Rob Mulla,2021-09-26T18:25:56.754723Z,92000,5265611,126,UUxladMszXan-jfgzyeIMyvw
Data With Mo,2022-12-25T20:25:38.187653Z,34400,915403,22,UUDybamfye5An6p-j1t2YMsg
codebasics,2015-11-07T17:29:46Z,807000,54989430,620,UUh9nVJoWXmFb7sLApWGcLPQ
