channelName,subscribers,views,videos,likes,comments,date
codebasics,806000,54904155,620,1186989,70063,2023-07-01
Luke Barousse,356000,16319629,135,584409,25962,2023-07-01
Alex The Analyst,509000,20369573,219,584305,42389,2023-07-01
Shashank Kalanithi,131000,5994307,152,176110,6617,2023-07-01
Keith Galli,197000,13457937,78,285879,14829,2023-07-01
Ken Jee,246000,8203555,277,308073,27274,2023-07-01
Data With Mo,34100,905333,22,35929,2343,2023-07-01
Tina Huang,552000,24058180,126,1084736,34671,2023-07-01
Rob Mulla,91500,5228032,126,238076,8716,2023-07-01
Thu Vu data analytics,152000,4762804,71,214351,7191,2023-07-01
